Player,team,Age,Pos,dominant_hand,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,HBP,TB,GIDP,SH,SF,IBB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,WAR,Awards
Connor Norby,orioles,24.0,2B,Right,9.0,32.0,32.0,3.0,,1.0,0.0,2.0,3.0,0.0,0.0,0.0,12.0,0.0,13.0,1.0,0.0,0.0,0.0,0.188,0.188,0.406,0.594,66.0,0.247,60.0,0.1,
Coby Mayo,orioles,22.0,CI,Right,17.0,46.0,41.0,4.0,,0.0,0.0,0.0,0.0,0.0,0.0,4.0,22.0,1.0,4.0,1.0,0.0,0.0,0.0,0.098,0.196,0.098,0.293,-11.0,0.153,-7.0,-0.7,
Liván Soto,orioles,24.0,IF,Left,12.0,13.0,10.0,1.0,,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.3,0.462,0.4,0.862,154.0,0.392,164.0,0.2,
Ryan McKenna,orioles,27.0,OF,Right,9.0,9.0,8.0,3.0,,0.0,0.0,2.0,2.0,0.0,1.0,1.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,0.375,0.444,1.125,1.569,335.0,0.563,326.0,0.1,
Cristian Pache,orioles,25.0,RF,Right,3.0,1.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,485.0,0.795,464.0,0.1,
Tony Kemp,orioles,32.0,UT,Left,5.0,10.0,9.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,-67.0,0.069,-67.0,-0.2,
Nick Maton,orioles,27.0,IF,Left,5.0,5.0,5.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,0.0,-116.0,-0.1,
David Bañuelos,orioles,27.0,,Right,1.0,1.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,0.0,-127.0,,
Daniel Johnson,orioles,28.0,RF,Left,1.0,1.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,0.0,-127.0,0.0,
Jacob Webb,orioles,30.0,P,Right,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,
Danny Coulombe,orioles,34.0,P,Left,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,
Mike Baumann,orioles,28.0,P,Right,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,
Albert Suárez,orioles,34.0,P,Right,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,
Seranthony Domínguez,orioles,29.0,P,Right,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,
Jonathan Heasley,orioles,27.0,P,Right,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,
Craig Kimbrel,orioles,36.0,P,Right,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,
Team Totals,orioles,,,Right,162.0,6176.0,5567.0,786.0,,262.0,33.0,235.0,759.0,98.0,25.0,489.0,1359.0,64.0,2424.0,71.0,6.0,45.0,14.0,0.25,0.315,0.435,0.751,115.0,0.329,118.0,31.8,
Connor Wong,redsox,28.0,C,Right,126.0,487.0,447.0,54.0,125.0,24.0,1.0,13.0,52.0,8.0,7.0,28.0,114.0,9.0,190.0,7.0,1.0,2.0,1.0,0.28,0.333,0.425,0.758,113.0,0.327,107.0,1.5,
Dominic Smith,redsox,29.0,1B,Left,84.0,278.0,249.0,29.0,59.0,20.0,0.0,6.0,34.0,1.0,1.0,25.0,65.0,4.0,97.0,7.0,0.0,0.0,0.0,0.237,0.317,0.39,0.706,99.0,0.314,96.0,0.0,
Enmanuel Valdéz,redsox,25.0,2B,Left,76.0,223.0,201.0,23.0,43.0,12.0,0.0,6.0,28.0,1.0,1.0,17.0,53.0,0.0,73.0,4.0,1.0,4.0,0.0,0.214,0.27,0.363,0.633,77.0,0.277,70.0,-0.6,
Ceddanne Rafaela,redsox,23.0,SS,Right,152.0,571.0,544.0,70.0,134.0,23.0,5.0,15.0,75.0,19.0,10.0,15.0,151.0,7.0,212.0,8.0,2.0,3.0,1.0,0.246,0.274,0.39,0.664,85.0,0.299,85.0,2.8,
Rafael Devers,redsox,27.0,3B,Left,138.0,601.0,525.0,87.0,143.0,34.0,5.0,28.0,83.0,3.0,0.0,67.0,147.0,3.0,271.0,13.0,0.0,6.0,14.0,0.272,0.354,0.516,0.871,142.0,0.368,134.0,3.7,ASMVP-13
Tyler O'Neill,redsox,29.0,LF,Right,113.0,473.0,411.0,74.0,99.0,18.0,0.0,31.0,61.0,4.0,0.0,53.0,159.0,7.0,210.0,13.0,0.0,2.0,5.0,0.241,0.336,0.511,0.847,135.0,0.365,131.0,2.6,
Jarren Duran,redsox,27.0,CF,Left,160.0,735.0,671.0,111.0,191.0,48.0,14.0,21.0,75.0,34.0,7.0,54.0,160.0,6.0,330.0,6.0,1.0,3.0,1.0,0.285,0.342,0.492,0.834,132.0,0.373,134.0,8.7,ASMVP-8
Wilyer Abreu,redsox,25.0,RF,Left,132.0,447.0,399.0,59.0,101.0,33.0,2.0,15.0,58.0,8.0,3.0,40.0,125.0,3.0,183.0,7.0,0.0,5.0,0.0,0.253,0.322,0.459,0.781,118.0,0.339,112.0,3.4,ROY-6GG
Masataka Yoshida,redsox,30.0,DH,Left,108.0,421.0,378.0,45.0,106.0,21.0,0.0,10.0,56.0,2.0,0.0,27.0,52.0,14.0,157.0,6.0,0.0,2.0,0.0,0.28,0.349,0.415,0.765,116.0,0.341,114.0,1.4,
